Trial ID,Cancer Type,Trial Name,Location,Contact Info,Status
LU1016,Lung Cancer,Lung Cancer Trial #17,"Washington, DC",lung_cancer@trials.org / (800) 555-1016,Recruiting
LU1017,Lung Cancer,Lung Cancer Trial #18,"Detroit, Michigan",lung_cancer@trials.org / (800) 555-1017,Recruiting
LU1018,Lung Cancer,Lung Cancer Trial #19,"Portland, Oregon",lung_cancer@trials.org / (800) 555-1018,Recruiting
LU1019,Lung Cancer,Lung Cancer Trial #20,"Fort Worth, Texas",lung_cancer@trials.org / (800) 555-1019,Recruiting
PR2000,Prostate Cancer,Prostate Cancer Trial #1,"Atlanta, Georgia",prostate_cancer@trials.org / (800) 555-2000,Recruiting
PR2001,Prostate Cancer,Prostate Cancer Trial #2,"Chicago, Illinois",prostate_cancer@trials.org / (800) 555-2001,Recruiting
PR2002,Prostate Cancer,Prostate Cancer Trial #3,"Philadelphia, Pennsylvania",prostate_cancer@trials.org / (800) 555-2002,Recruiting
PR2003,Prostate Cancer,Prostate Cancer Trial #4,"Houston, Texas",prostate_cancer@trials.org / (800) 555-2003,Recruiting
PR2004,Prostate Cancer,Prostate Cancer Trial #5,"Las Vegas, Nevada",prostate_cancer@trials.org / (800) 555-2004,Recruiting
PR2005,Prostate Cancer,Prostate Cancer Trial #6,"Orlando, Florida",prostate_cancer@trials.org / (800) 555-2005,Recruiting
PR2006,Prostate Cancer,Prostate Cancer Trial #7,"Kansas City, Missouri",prostate_cancer@trials.org / (800) 555-2006,Recruiting
PR2007,Prostate Cancer,Prostate Cancer Trial #8,"Minneapolis, Minnesota",prostate_cancer@trials.org / (800) 555-2007,Recruiting
PR2008,Prostate Cancer,Prostate Cancer Trial #9,"Raleigh, North Carolina",prostate_cancer@trials.org / (800) 555-2008,Recruiting
PR2009,Prostate Cancer,Prostate Cancer Trial #10,"Albuquerque, New Mexico",prostate_cancer@trials.org / (800) 555-2009,Recruiting
PR2010,Prostate Cancer,Prostate Cancer Trial #11,"Tampa, Florida",prostate_cancer@trials.org / (800) 555-2010,Recruiting
PR2011,Prostate Cancer,Prostate Cancer Trial #12,"Cleveland, Ohio",prostate_cancer@trials.org / (800) 555-2011,Recruiting
PR2012,Prostate Cancer,Prostate Cancer Trial #13,"Boise, Idaho",prostate_cancer@trials.org / (800) 555-2012,Recruiting
PR2013,Prostate Cancer,Prostate Cancer Trial #14,"Fresno, California",prostate_cancer@trials.org / (800) 555-2013,Recruiting
PR2014,Prostate Cancer,Prostate Cancer Trial #15,"Buffalo, New York",prostate_cancer@trials.org / (800) 555-2014,Recruiting
PR2015,Prostate Cancer,Prostate Cancer Trial #16,"Des Moines, Iowa",prostate_cancer@trials.org / (800) 555-2015,Recruiting
PR2016,Prostate Cancer,Prostate Cancer Trial #17,"Tulsa, Oklahoma",prostate_cancer@trials.org / (800) 555-2016,Recruiting
PR2017,Prostate Cancer,Prostate Cancer Trial #18,"Birmingham, Alabama",prostate_cancer@trials.org / (800) 555-2017,Recruiting
PR2018,Prostate Cancer,Prostate Cancer Trial #19,"Richmond, Virginia",prostate_cancer@trials.org / (800) 555-2018,Recruiting
PR2019,Prostate Cancer,Prostate Cancer Trial #20,"Salt Lake City, Utah",prostate_cancer@trials.org / (800) 555-2019,Recruiting
BC3000,Breast Cancer,Breast Cancer Trial #1,"New York, New York",breast_cancer@trials.org / (800) 555-3000,Recruiting
BC3001,Breast Cancer,Breast Cancer Trial #2,"Los Angeles, California",breast_cancer@trials.org / (800) 555-3001,Recruiting
BC3002,Breast Cancer,Breast Cancer Trial #3,"Miami, Florida",breast_cancer@trials.org / (800) 555-3002,Recruiting
BC3003,Breast Cancer,Breast Cancer Trial #4,"Baltimore, Maryland",breast_cancer@trials.org / (800) 555-3003,Recruiting
BC3004,Breast Cancer,Breast Cancer Trial #5,"Newark, New Jersey",breast_cancer@trials.org / (800) 555-3004,Recruiting
BC3005,Breast Cancer,Breast Cancer Trial #6,"St. Louis, Missouri",breast_cancer@trials.org / (800) 555-3005,Recruiting
BC3006,Breast Cancer,Breast Cancer Trial #7,"San Antonio, Texas",breast_cancer@trials.org / (800) 555-3006,Recruiting
BC3007,Breast Cancer,Breast Cancer Trial #8,"Milwaukee, Wisconsin",breast_cancer@trials.org / (800) 555-3007,Recruiting
BC3008,Breast Cancer,Breast Cancer Trial #9,"Omaha, Nebraska",breast_cancer@trials.org / (800) 555-3008,Recruiting
BC3009,Breast Cancer,Breast Cancer Trial #10,"Anchorage, Alaska",breast_cancer@trials.org / (800) 555-3009,Recruiting
BC3010,Breast Cancer,Breast Cancer Trial #11,"Louisville, Kentucky",breast_cancer@trials.org / (800) 555-3010,Recruiting
BC3011,Breast Cancer,Breast Cancer Trial #12,"Hartford, Connecticut",breast_cancer@trials.org / (800) 555-3011,Recruiting
BC3012,Breast Cancer,Breast Cancer Trial #13,"Baton Rouge, Louisiana",breast_cancer@trials.org / (800) 555-3012,Recruiting
BC3013,Breast Cancer,Breast Cancer Trial #14,"Reno, Nevada",breast_cancer@trials.org / (800) 555-3013,Recruiting
BC3014,Breast Cancer,Breast Cancer Trial #15,"Bakersfield, California",breast_cancer@trials.org / (800) 555-3014,Recruiting
BC3015,Breast Cancer,Breast Cancer Trial #16,"Lubbock, Texas",breast_cancer@trials.org / (800) 555-3015,Recruiting
BC3016,Breast Cancer,Breast Cancer Trial #17,"Tacoma, Washington",breast_cancer@trials.org / (800) 555-3016,Recruiting
BC3017,Breast Cancer,Breast Cancer Trial #18,"Springfield, Illinois",breast_cancer@trials.org / (800) 555-3017,Recruiting
BC3018,Breast Cancer,Breast Cancer Trial #19,"Rochester, New York",breast_cancer@trials.org / (800) 555-3018,Recruiting
BC3019,Breast Cancer,Breast Cancer Trial #20,"Greensboro, North Carolina",breast_cancer@trials.org / (800) 555-3019,Recruiting
SG4000,Stomach Cancer,Stomach Cancer Trial #1,"Chicago, Illinois",stomach_cancer@trials.org / (800) 555-4000,Recruiting
SG4001,Stomach Cancer,Stomach Cancer Trial #2,"Los Angeles, California",stomach_cancer@trials.org / (800) 555-4001,Recruiting
SG4002,Stomach Cancer,Stomach Cancer Trial #3,"Houston, Texas",stomach_cancer@trials.org / (800) 555-4002,Recruiting
SG4003,Stomach Cancer,Stomach Cancer Trial #4,"New York, New York",stomach_cancer@trials.org / (800) 555-4003,Recruiting
SG4004,Stomach Cancer,Stomach Cancer Trial #5,"Phoenix, Arizona",stomach_cancer@trials.org / (800) 555-4004,Recruiting
SG4005,Stomach Cancer,Stomach Cancer Trial #6,"San Diego, California",stomach_cancer@trials.org / (800) 555-4005,Recruiting
SG4006,Stomach Cancer,Stomach Cancer Trial #7,"Boston, Massachusetts",stomach_cancer@trials.org / (800) 555-4006,Recruiting
SG4007,Stomach Cancer,Stomach Cancer Trial #8,"San Jose, California",stomach_cancer@trials.org / (800) 555-4007,Recruiting
SG4008,Stomach Cancer,Stomach Cancer Trial #9,"Charlotte, North Carolina",stomach_cancer@trials.org / (800) 555-4008,Recruiting
SG4009,Stomach Cancer,Stomach Cancer Trial #10,"Indianapolis, Indiana",stomach_cancer@trials.org / (800) 555-4009,Recruiting
SG4010,Stomach Cancer,Stomach Cancer Trial #11,"Columbus, Ohio",stomach_cancer@trials.org / (800) 555-4010,Recruiting
SG4011,Stomach Cancer,Stomach Cancer Trial #12,"Detroit, Michigan",stomach_cancer@trials.org / (800) 555-4011,Recruiting
SG4012,Stomach Cancer,Stomach Cancer Trial #13,"Nashville, Tennessee",stomach_cancer@trials.org / (800) 555-4012,Recruiting
SG4013,Stomach Cancer,Stomach Cancer Trial #14,"Baltimore, Maryland",stomach_cancer@trials.org / (800) 555-4013,Recruiting
SG4014,Stomach Cancer,Stomach Cancer Trial #15,"El Paso, Texas",stomach_cancer@trials.org / (800) 555-4014,Recruiting
SG4015,Stomach Cancer,Stomach Cancer Trial #16,"Denver, Colorado",stomach_cancer@trials.org / (800) 555-4015,Recruiting
SG4016,Stomach Cancer,Stomach Cancer Trial #17,"Memphis, Tennessee",stomach_cancer@trials.org / (800) 555-4016,Recruiting
SG4017,Stomach Cancer,Stomach Cancer Trial #18,"Oklahoma City, Oklahoma",stomach_cancer@trials.org / (800) 555-4017,Recruiting
SG4018,Stomach Cancer,Stomach Cancer Trial #19,"Portland, Oregon",stomach_cancer@trials.org / (800) 555-4018,Recruiting
SG4019,Stomach Cancer,Stomach Cancer Trial #20,"Milwaukee, Wisconsin",stomach_cancer@trials.org / (800) 555-4019,Recruiting
GB5000,Gallbladder Cancer,Gallbladder Cancer Trial #1,"Dallas, Texas",gallbladder_cancer@trials.org / (800) 555-5000,Recruiting
GB5001,Gallbladder Cancer,Gallbladder Cancer Trial #2,"Seattle, Washington",gallbladder_cancer@trials.org / (800) 555-5001,Recruiting
GB5002,Gallbladder Cancer,Gallbladder Cancer Trial #3,"San Antonio, Texas",gallbladder_cancer@trials.org / (800) 555-5002,Recruiting
GB5003,Gallbladder Cancer,Gallbladder Cancer Trial #4,"Atlanta, Georgia",gallbladder_cancer@trials.org / (800) 555-5003,Recruiting
GB5004,Gallbladder Cancer,Gallbladder Cancer Trial #5,"Las Vegas, Nevada",gallbladder_cancer@trials.org / (800) 555-5004,Recruiting
GB5005,Gallbladder Cancer,Gallbladder Cancer Trial #6,"Austin, Texas",gallbladder_cancer@trials.org / (800) 555-5005,Recruiting
GB5006,Gallbladder Cancer,Gallbladder Cancer Trial #7,"Tampa, Florida",gallbladder_cancer@trials.org / (800) 555-5006,Recruiting
GB5007,Gallbladder Cancer,Gallbladder Cancer Trial #8,"Cincinnati, Ohio",gallbladder_cancer@trials.org / (800) 555-5007,Recruiting
GB5008,Gallbladder Cancer,Gallbladder Cancer Trial #9,"Pittsburgh, Pennsylvania",gallbladder_cancer@trials.org / (800) 555-5008,Recruiting
GB5009,Gallbladder Cancer,Gallbladder Cancer Trial #10,"Toledo, Ohio",gallbladder_cancer@trials.org / (800) 555-5009,Recruiting
GB5010,Gallbladder Cancer,Gallbladder Cancer Trial #11,"Lincoln, Nebraska",gallbladder_cancer@trials.org / (800) 555-5010,Recruiting
GB5011,Gallbladder Cancer,Gallbladder Cancer Trial #12,"Reno, Nevada",gallbladder_cancer@trials.org / (800) 555-5011,Recruiting
GB5012,Gallbladder Cancer,Gallbladder Cancer Trial #13,"Fresno, California",gallbladder_cancer@trials.org / (800) 555-5012,Recruiting
GB5013,Gallbladder Cancer,Gallbladder Cancer Trial #14,"Anchorage, Alaska",gallbladder_cancer@trials.org / (800) 555-5013,Recruiting
GB5014,Gallbladder Cancer,Gallbladder Cancer Trial #15,"Honolulu, Hawaii",gallbladder_cancer@trials.org / (800) 555-5014,Recruiting
GB5015,Gallbladder Cancer,Gallbladder Cancer Trial #16,"Boise, Idaho",gallbladder_cancer@trials.org / (800) 555-5015,Recruiting
GB5016,Gallbladder Cancer,Gallbladder Cancer Trial #17,"Billings, Montana",gallbladder_cancer@trials.org / (800) 555-5016,Recruiting
GB5017,Gallbladder Cancer,Gallbladder Cancer Trial #18,"Mobile, Alabama",gallbladder_cancer@trials.org / (800) 555-5017,Recruiting
GB5018,Gallbladder Cancer,Gallbladder Cancer Trial #19,"Lexington, Kentucky",gallbladder_cancer@trials.org / (800) 555-5018,Recruiting
GB5019,Gallbladder Cancer,Gallbladder Cancer Trial #20,"Bismarck, North Dakota",gallbladder_cancer@trials.org / (800) 555-5019,Recruiting
LV6000,Liver Cancer,Liver Cancer Trial #1,"San Francisco, California",liver_cancer@trials.org / (800) 555-6000,Recruiting
LV6001,Liver Cancer,Liver Cancer Trial #2,"Philadelphia, Pennsylvania",liver_cancer@trials.org / (800) 555-6001,Recruiting
LV6002,Liver Cancer,Liver Cancer Trial #3,"Miami, Florida",liver_cancer@trials.org / (800) 555-6002,Recruiting
LV6003,Liver Cancer,Liver Cancer Trial #4,"Cleveland, Ohio",liver_cancer@trials.org / (800) 555-6003,Recruiting
LV6004,Liver Cancer,Liver Cancer Trial #5,"San Juan, PR",liver_cancer@trials.org / (800) 555-6004,Recruiting
LV6005,Liver Cancer,Liver Cancer Trial #6,"Tucson, Arizona",liver_cancer@trials.org / (800) 555-6005,Recruiting
LV6006,Liver Cancer,Liver Cancer Trial #7,"Fort Lauderdale, Florida",liver_cancer@trials.org / (800) 555-6006,Recruiting
LV6007,Liver Cancer,Liver Cancer Trial #8,"Plano, Texas",liver_cancer@trials.org / (800) 555-6007,Recruiting
LV6008,Liver Cancer,Liver Cancer Trial #9,"Durham, North Carolina",liver_cancer@trials.org / (800) 555-6008,Recruiting
LV6009,Liver Cancer,Liver Cancer Trial #10,"Spokane, Washington",liver_cancer@trials.org / (800) 555-6009,Recruiting
LV6010,Liver Cancer,Liver Cancer Trial #11,"Albany, New York",liver_cancer@trials.org / (800) 555-6010,Recruiting
LV6011,Liver Cancer,Liver Cancer Trial #12,"Little Rock, Arkansas",liver_cancer@trials.org / (800) 555-6011,Recruiting
LV6012,Liver Cancer,Liver Cancer Trial #13,"Lubbock, Texas",liver_cancer@trials.org / (800) 555-6012,Recruiting
LV6013,Liver Cancer,Liver Cancer Trial #14,"Modesto, California",liver_cancer@trials.org / (800) 555-6013,Recruiting
LV6014,Liver Cancer,Liver Cancer Trial #15,"Baton Rouge, Louisiana",liver_cancer@trials.org / (800) 555-6014,Recruiting
LV6015,Liver Cancer,Liver Cancer Trial #16,"Charleston, South Carolina",liver_cancer@trials.org / (800) 555-6015,Recruiting
LV6016,Liver Cancer,Liver Cancer Trial #17,"Erie, Pennsylvania",liver_cancer@trials.org / (800) 555-6016,Recruiting
LV6017,Liver Cancer,Liver Cancer Trial #18,"Eugene, Oregon",liver_cancer@trials.org / (800) 555-6017,Recruiting
LV6018,Liver Cancer,Liver Cancer Trial #19,"Bakersfield, California",liver_cancer@trials.org / (800) 555-6018,Recruiting
LV6019,Liver Cancer,Liver Cancer Trial #20,"Greenville, South Carolina",liver_cancer@trials.org / (800) 555-6019,Recruiting
BL7000,Bladder Cancer,Bladder Cancer Trial #1,"Phoenix, Arizona",bladder_cancer@trials.org / (800) 555-7000,Recruiting
BL7001,Bladder Cancer,Bladder Cancer Trial #2,"Los Angeles, California",bladder_cancer@trials.org / (800) 555-7001,Recruiting
BL7002,Bladder Cancer,Bladder Cancer Trial #3,"Columbus, Ohio",bladder_cancer@trials.org / (800) 555-7002,Recruiting
BL7003,Bladder Cancer,Bladder Cancer Trial #4,"Tulsa, Oklahoma",bladder_cancer@trials.org / (800) 555-7003,Recruiting
BL7004,Bladder Cancer,Bladder Cancer Trial #5,"Minneapolis, Minnesota",bladder_cancer@trials.org / (800) 555-7004,Recruiting
BL7005,Bladder Cancer,Bladder Cancer Trial #6,"Denver, Colorado",bladder_cancer@trials.org / (800) 555-7005,Recruiting
BL7006,Bladder Cancer,Bladder Cancer Trial #7,"Des Moines, Iowa",bladder_cancer@trials.org / (800) 555-7006,Recruiting
BL7007,Bladder Cancer,Bladder Cancer Trial #8,"Atlanta, Georgia",bladder_cancer@trials.org / (800) 555-7007,Recruiting
BL7008,Bladder Cancer,Bladder Cancer Trial #9,"Raleigh, North Carolina",bladder_cancer@trials.org / (800) 555-7008,Recruiting
BL7009,Bladder Cancer,Bladder Cancer Trial #10,"Milwaukee, Wisconsin",bladder_cancer@trials.org / (800) 555-7009,Recruiting
BL7010,Bladder Cancer,Bladder Cancer Trial #11,"Birmingham, Alabama",bladder_cancer@trials.org / (800) 555-7010,Recruiting
BL7011,Bladder Cancer,Bladder Cancer Trial #12,"Anchorage, Alaska",bladder_cancer@trials.org / (800) 555-7011,Recruiting
BL7012,Bladder Cancer,Bladder Cancer Trial #13,"Louisville, Kentucky",bladder_cancer@trials.org / (800) 555-7012,Recruiting
BL7013,Bladder Cancer,Bladder Cancer Trial #14,"Newark, New Jersey",bladder_cancer@trials.org / (800) 555-7013,Recruiting
BL7014,Bladder Cancer,Bladder Cancer Trial #15,"St. Louis, Missouri",bladder_cancer@trials.org / (800) 555-7014,Recruiting
BL7015,Bladder Cancer,Bladder Cancer Trial #16,"Omaha, Nebraska",bladder_cancer@trials.org / (800) 555-7015,Recruiting
BL7016,Bladder Cancer,Bladder Cancer Trial #17,"Cincinnati, Ohio",bladder_cancer@trials.org / (800) 555-7016,Recruiting
BL7017,Bladder Cancer,Bladder Cancer Trial #18,"Fresno, California",bladder_cancer@trials.org / (800) 555-7017,Recruiting
BL7018,Bladder Cancer,Bladder Cancer Trial #19,"Buffalo, New York",bladder_cancer@trials.org / (800) 555-7018,Recruiting
BL7019,Bladder Cancer,Bladder Cancer Trial #20,"Reno, Nevada",bladder_cancer@trials.org / (800) 555-7019,Recruiting
BC8000,Blood Cancer,Blood Cancer Trial #1,"New York, New York",blood_cancer@trials.org / (800) 555-8000,Recruiting
BC8001,Blood Cancer,Blood Cancer Trial #2,"Boston, Massachusetts",blood_cancer@trials.org / (800) 555-8001,Recruiting
BC8002,Blood Cancer,Blood Cancer Trial #3,"Chicago, Illinois",blood_cancer@trials.org / (800) 555-8002,Recruiting
BC8003,Blood Cancer,Blood Cancer Trial #4,"Philadelphia, Pennsylvania",blood_cancer@trials.org / (800) 555-8003,Recruiting
BC8004,Blood Cancer,Blood Cancer Trial #5,"Houston, Texas",blood_cancer@trials.org / (800) 555-8004,Recruiting
BC8005,Blood Cancer,Blood Cancer Trial #6,"Los Angeles, California",blood_cancer@trials.org / (800) 555-8005,Recruiting
BC8006,Blood Cancer,Blood Cancer Trial #7,"Seattle, Washington",blood_cancer@trials.org / (800) 555-8006,Recruiting
BC8007,Blood Cancer,Blood Cancer Trial #8,"San Diego, California",blood_cancer@trials.org / (800) 555-8007,Recruiting
BC8008,Blood Cancer,Blood Cancer Trial #9,"Atlanta, Georgia",blood_cancer@trials.org / (800) 555-8008,Recruiting
BC8009,Blood Cancer,Blood Cancer Trial #10,"Dallas, Texas",blood_cancer@trials.org / (800) 555-8009,Recruiting
BC8010,Blood Cancer,Blood Cancer Trial #11,"Denver, Colorado",blood_cancer@trials.org / (800) 555-8010,Recruiting
BC8011,Blood Cancer,Blood Cancer Trial #12,"Portland, Oregon",blood_cancer@trials.org / (800) 555-8011,Recruiting
BC8012,Blood Cancer,Blood Cancer Trial #13,"Minneapolis, Minnesota",blood_cancer@trials.org / (800) 555-8012,Recruiting
BC8013,Blood Cancer,Blood Cancer Trial #14,"Indianapolis, Indiana",blood_cancer@trials.org / (800) 555-8013,Recruiting
BC8014,Blood Cancer,Blood Cancer Trial #15,"Charlotte, North Carolina",blood_cancer@trials.org / (800) 555-8014,Recruiting
BC8015,Blood Cancer,Blood Cancer Trial #16,"Nashville, Tennessee",blood_cancer@trials.org / (800) 555-8015,Recruiting
BC8016,Blood Cancer,Blood Cancer Trial #17,"Phoenix, Arizona",blood_cancer@trials.org / (800) 555-8016,Recruiting
BC8017,Blood Cancer,Blood Cancer Trial #18,"Salt Lake City, Utah",blood_cancer@trials.org / (800) 555-8017,Recruiting
BC8018,Blood Cancer,Blood Cancer Trial #19,"Columbus, Ohio",blood_cancer@trials.org / (800) 555-8018,Recruiting
BC8019,Blood Cancer,Blood Cancer Trial #20,"Baltimore, Maryland",blood_cancer@trials.org / (800) 555-8019,Recruiting
PC9000,Pancreatic Cancer,Pancreatic Cancer Trial #1,"Houston, Texas",pancreatic_cancer@trials.org / (800) 555-9000,Recruiting
PC9001,Pancreatic Cancer,Pancreatic Cancer Trial #2,"San Francisco, California",pancreatic_cancer@trials.org / (800) 555-9001,Recruiting
PC9002,Pancreatic Cancer,Pancreatic Cancer Trial #3,"Seattle, Washington",pancreatic_cancer@trials.org / (800) 555-9002,Recruiting
PC9003,Pancreatic Cancer,Pancreatic Cancer Trial #4,"Chicago, Illinois",pancreatic_cancer@trials.org / (800) 555-9003,Recruiting
PC9004,Pancreatic Cancer,Pancreatic Cancer Trial #5,"Los Angeles, California",pancreatic_cancer@trials.org / (800) 555-9004,Recruiting
PC9005,Pancreatic Cancer,Pancreatic Cancer Trial #6,"Philadelphia, Pennsylvania",pancreatic_cancer@trials.org / (800) 555-9005,Recruiting
PC9006,Pancreatic Cancer,Pancreatic Cancer Trial #7,"New York, New York",pancreatic_cancer@trials.org / (800) 555-9006,Recruiting
PC9007,Pancreatic Cancer,Pancreatic Cancer Trial #8,"Austin, Texas",pancreatic_cancer@trials.org / (800) 555-9007,Recruiting
PC9008,Pancreatic Cancer,Pancreatic Cancer Trial #9,"Boston, Massachusetts",pancreatic_cancer@trials.org / (800) 555-9008,Recruiting
PC9009,Pancreatic Cancer,Pancreatic Cancer Trial #10,"Dallas, Texas",pancreatic_cancer@trials.org / (800) 555-9009,Recruiting
PC9010,Pancreatic Cancer,Pancreatic Cancer Trial #11,"Charlotte, North Carolina",pancreatic_cancer@trials.org / (800) 555-9010,Recruiting
PC9011,Pancreatic Cancer,Pancreatic Cancer Trial #12,"Miami, Florida",pancreatic_cancer@trials.org / (800) 555-9011,Recruiting
PC9012,Pancreatic Cancer,Pancreatic Cancer Trial #13,"Portland, Oregon",pancreatic_cancer@trials.org / (800) 555-9012,Recruiting
PC9013,Pancreatic Cancer,Pancreatic Cancer Trial #14,"Columbus, Ohio",pancreatic_cancer@trials.org / (800) 555-9013,Recruiting
PC9014,Pancreatic Cancer,Pancreatic Cancer Trial #15,"Phoenix, Arizona",pancreatic_cancer@trials.org / (800) 555-9014,Recruiting
PC9015,Pancreatic Cancer,Pancreatic Cancer Trial #16,"San Jose, California",pancreatic_cancer@trials.org / (800) 555-9015,Recruiting
PC9016,Pancreatic Cancer,Pancreatic Cancer Trial #17,"Indianapolis, Indiana",pancreatic_cancer@trials.org / (800) 555-9016,Recruiting
PC9017,Pancreatic Cancer,Pancreatic Cancer Trial #18,"Orlando, Florida",pancreatic_cancer@trials.org / (800) 555-9017,Recruiting
PC9018,Pancreatic Cancer,Pancreatic Cancer Trial #19,"Detroit, Michigan",pancreatic_cancer@trials.org / (800) 555-9018,Recruiting
PC9019,Pancreatic Cancer,Pancreatic Cancer Trial #20,"Nashville, Tennessee",pancreatic_cancer@trials.org / (800) 555-9019,Recruiting
LE7000,Leukemia,Leukemia Trial #1,"New York, New York",leukemia@trials.org / (800) 555-7000,Recruiting
LE7001,Leukemia,Leukemia Trial #2,"Boston, Massachusetts",leukemia@trials.org / (800) 555-7001,Recruiting
LE7002,Leukemia,Leukemia Trial #3,"Chicago, Illinois",leukemia@trials.org / (800) 555-7002,Recruiting
LE7003,Leukemia,Leukemia Trial #4,"Philadelphia, Pennsylvania",leukemia@trials.org / (800) 555-7003,Recruiting
LE7004,Leukemia,Leukemia Trial #5,"Houston, Texas",leukemia@trials.org / (800) 555-7004,Recruiting
LE7005,Leukemia,Leukemia Trial #6,"Los Angeles, California",leukemia@trials.org / (800) 555-7005,Recruiting
LE7006,Leukemia,Leukemia Trial #7,"Seattle, Washington",leukemia@trials.org / (800) 555-7006,Recruiting
LE7007,Leukemia,Leukemia Trial #8,"San Diego, California",leukemia@trials.org / (800) 555-7007,Recruiting
LE7008,Leukemia,Leukemia Trial #9,"Atlanta, Georgia",leukemia@trials.org / (800) 555-7008,Recruiting
LE7009,Leukemia,Leukemia Trial #10,"Dallas, Texas",leukemia@trials.org / (800) 555-7009,Recruiting
LE7010,Leukemia,Leukemia Trial #11,"Denver, Colorado",leukemia@trials.org / (800) 555-7010,Recruiting
LE7011,Leukemia,Leukemia Trial #12,"Portland, Oregon",leukemia@trials.org / (800) 555-7011,Recruiting
LE7012,Leukemia,Leukemia Trial #13,"Minneapolis, Minnesota",leukemia@trials.org / (800) 555-7012,Recruiting
LE7013,Leukemia,Leukemia Trial #14,"Indianapolis, Indiana",leukemia@trials.org / (800) 555-7013,Recruiting
LE7014,Leukemia,Leukemia Trial #15,"Charlotte, North Carolina",leukemia@trials.org / (800) 555-7014,Recruiting
LE7015,Leukemia,Leukemia Trial #16,"Nashville, Tennessee",leukemia@trials.org / (800) 555-7015,Recruiting
LE7016,Leukemia,Leukemia Trial #17,"Phoenix, Arizona",leukemia@trials.org / (800) 555-7016,Recruiting
LE7017,Leukemia,Leukemia Trial #18,"Salt Lake City, Utah",leukemia@trials.org / (800) 555-7017,Recruiting
LE7018,Leukemia,Leukemia Trial #19,"Columbus, Ohio",leukemia@trials.org / (800) 555-7018,Recruiting
LE7019,Leukemia,Leukemia Trial #20,"Baltimore, Maryland",leukemia@trials.org / (800) 555-7019,Recruiting
LY7100,Lymphoma,Lymphoma Trial #1,"San Antonio, Texas",lymphoma@trials.org / (800) 555-7100,Recruiting
LY7101,Lymphoma,Lymphoma Trial #2,"Tucson, Arizona",lymphoma@trials.org / (800) 555-7101,Recruiting
LY7102,Lymphoma,Lymphoma Trial #3,"Fresno, California",lymphoma@trials.org / (800) 555-7102,Recruiting
LY7103,Lymphoma,Lymphoma Trial #4,"Sacramento, California",lymphoma@trials.org / (800) 555-7103,Recruiting
LY7104,Lymphoma,Lymphoma Trial #5,"San Jose, California",lymphoma@trials.org / (800) 555-7104,Recruiting
LY7105,Lymphoma,Lymphoma Trial #6,"Miami, Florida",lymphoma@trials.org / (800) 555-7105,Recruiting
LY7106,Lymphoma,Lymphoma Trial #7,"Tampa, Florida",lymphoma@trials.org / (800) 555-7106,Recruiting
LY7107,Lymphoma,Lymphoma Trial #8,"Orlando, Florida",lymphoma@trials.org / (800) 555-7107,Recruiting
LY7108,Lymphoma,Lymphoma Trial #9,"Cleveland, Ohio",lymphoma@trials.org / (800) 555-7108,Recruiting
LY7109,Lymphoma,Lymphoma Trial #10,"Cincinnati, Ohio",lymphoma@trials.org / (800) 555-7109,Recruiting
LY7110,Lymphoma,Lymphoma Trial #11,"Kansas City, Missouri",lymphoma@trials.org / (800) 555-7110,Recruiting
